New Run at  02/01/2016 09:16:48
, Time, RandomReward; CFUCBReward; 
data,1233703861000,11;9018;18
data,1252731254000,11;41658;18
data,1242284555000,11;70374;18
data,1245979817000,11;42650;18
data,1288340764000,11;105588;18
data,1265142735000,11;55523;18
data,1288574781000,11;8103;18
data,1286847048000,11;42687;18
data,1289171002000,11;61679;18
data,1286889686000,11;100444;18
data,1279892400000,11;97107;18
data,1288981008000,11;46894;18
data,1288989182000,11;102838;18
data,1282318954000,11;90135;18
data,1286894704000,11;73806;18
data,1264015404000,11;104729;18
data,1280260644000,11;89014;18
data,1258469858000,11;67312;18
data,1289161344000,11;89935;18
data,1267961202000,11;67327;18
data,1265048163000,11;16984;18
data,1283714990000,11;80284;18
data,1286314955000,11;10028;18
data,1203445938000,11;84060;18
data,1284830008000,11;99691;18
data,1280360718000,11;8101;18
data,1204627489000,11;75946;18
data,1268996490000,11;1958;18
data,1260227229000,11;95676;18
data,1283070515000,11;59064;18
data,1289144498000,11;16615;18
data,1288713700000,11;90044;18
data,1216694126000,11;10499;18
data,1288780560000,11;92923;18
data,1230905872000,11;93877;18
data,1288153130000,11;91924;18
data,1254117046000,11;34105;18
data,1288871204000,11;1584;18
data,1241205447000,11;62308;18
data,1208535189000,11;40229;18
data,1286882522000,11;5311;18
data,1243595804000,11;4342;18
data,1263976903000,11;4769;18
data,1287598876000,11;96914;18
data,1264887039000,11;22355;18
data,1246393031000,11;67181;18
data,1288041211000,11;21831;18
data,1207940899000,11;1534;18
data,1288701014000,12;96943;18
data,1289227065000,12;73455;18
data,1289137206000,12;90694;18
data,1287781656000,12;104970;18
data,1278667500000,12;89444;18
data,1268152597000,12;18118;18
data,1254801710000,12;46494;18
data,1288336188000,12;38521;18
data,1288275740000,12;47348;18
data,1288599328000,12;21720;18
data,1248797497000,12;71282;18
data,1213205693000,12;56374;18
data,1287901686000,12;66088;18
data,1278894990000,12;5831;18
data,1233649204000,12;90360;18
data,1288350472000,12;44895;18
data,1259546184000,12;105817;18
data,1242009614000,12;96831;19
data,1235711592000,12;80738;19
data,1289007601000,12;18988;19
